District,State,Location,Latitude,Longitude,Lithology,Aquifer_Type,Expected_WBZ_Depth_m,Water_Level_m,Expected_Discharge_LPM,pH,EC_uS_cm,Hardness_mg_L,Nitrate_mg_L,Fluoride_mg_L,Recommended_Drilling,Well_Suitability,Expected_Water_Quality
Guntur,Andhra Pradesh,Site-0423,17.4036,82.2672,Alluvium,Unconfined,85,13.45,447,8.1,1867,246,35.0,1.55,Auger Drilling,Not Suitable,Poor
Guntur,Andhra Pradesh,Site-0424,13.0385,78.1788,Shale,Unconfined,79,3.26,406,7.34,1053,770,37.0,1.52,Percussion Drilling,Suitable,Good
Prakasam,Andhra Pradesh,Site-0425,14.1184,77.9403,Shale,Confined,287,19.07,280,7.63,635,290,26.0,0.31,Percussion Drilling,Suitable,Good
Guntur,Andhra Pradesh,Site-0426,18.8977,83.1013,Shale,Unconfined,115,3.44,93,7.26,766,165,44.0,0.25,Percussion Drilling,Not Suitable,Moderate
Krishna,Andhra Pradesh,Site-0427,17.0368,77.7057,Granite,Semi-confined,33,13.98,454,8.48,398,316,67.0,1.63,Auger Drilling,Not Suitable,Poor
East Godavari,Andhra Pradesh,Site-0428,18.9214,82.3295,Shale,Fractured,202,12.88,222,7.24,902,422,31.0,1.89,Auger Drilling,Suitable,Moderate
West Godavari,Andhra Pradesh,Site-0429,13.3434,79.4922,Sandstone,Unconfined,31,10.22,407,7.3,1910,242,4.0,1.28,Down-the-Hole,Suitable,Poor
Kurnool,Andhra Pradesh,Site-0430,15.2106,81.3285,Alluvium,Fractured,293,9.44,146,6.51,1506,429,3.0,1.34,Rotary Drilling,Suitable,Poor
Prakasam,Andhra Pradesh,Site-0431,17.0676,78.6349,Shale,Fractured,71,8.27,293,8.47,1955,202,94.0,0.89,Percussion Drilling,Not Suitable,Poor
Kadapa,Andhra Pradesh,Site-0432,18.2192,83.1336,Alluvium,Unconfined,95,10.96,94,7.1,1578,661,60.0,0.5,Auger Drilling,Not Suitable,Good
Krishna,Andhra Pradesh,Site-0433,16.9759,78.6863,Basalt,Confined,75,3.9,416,6.56,868,492,99.0,0.7,Down-the-Hole,Not Suitable,Poor
Krishna,Andhra Pradesh,Site-0434,18.709,81.6942,Alluvium,Confined,281,3.63,404,7.17,658,689,99.0,1.86,Rotary Drilling,Not Suitable,Poor
Prakasam,Andhra Pradesh,Site-0435,15.2621,82.0221,Alluvium,Fractured,253,16.55,164,7.02,795,189,15.0,0.36,Percussion Drilling,Suitable,Poor
Chittoor,Andhra Pradesh,Site-0436,16.437,77.8919,Sandstone,Fractured,30,7.59,352,7.57,1934,497,55.0,0.78,Down-the-Hole,Not Suitable,Poor
Kadapa,Andhra Pradesh,Site-0437,16.1185,81.2113,Basalt,Unconfined,232,2.17,486,7.42,496,403,29.0,1.1,Auger Drilling,Suitable,Good
West Godavari,Andhra Pradesh,Site-0438,14.7004,82.2294,Alluvium,Unconfined,193,7.56,402,6.75,1936,687,62.0,1.34,Percussion Drilling,Not Suitable,Moderate
Guntur,Andhra Pradesh,Site-0439,17.2248,79.637,Sandstone,Confined,137,17.27,464,6.95,1706,153,100.0,0.52,Auger Drilling,Not Suitable,Poor
Nellore,Andhra Pradesh,Site-0440,14.7946,82.7051,Basalt,Unconfined,230,8.07,397,7.45,913,500,51.0,0.33,Down-the-Hole,Not Suitable,Moderate
Kurnool,Andhra Pradesh,Site-0441,17.2067,80.8361,Granite,Confined,195,15.54,347,8.23,310,411,59.0,1.38,Percussion Drilling,Not Suitable,Moderate
Krishna,Andhra Pradesh,Site-0442,14.7465,78.0138,Basalt,Confined,34,8.52,488,7.65,1589,251,49.0,1.91,Auger Drilling,Suitable,Poor
Kadapa,Andhra Pradesh,Site-0443,18.5559,77.6723,Shale,Confined,56,4.11,313,7.8,1415,544,20.0,1.33,Auger Drilling,Suitable,Good
Anantapur,Andhra Pradesh,Site-0444,13.7128,79.7765,Sandstone,Confined,222,15.97,457,7.84,383,574,84.0,0.89,Auger Drilling,Not Suitable,Moderate
Anantapur,Andhra Pradesh,Site-0445,13.72,77.5785,Shale,Confined,41,12.56,343,7.46,1620,196,76.0,0.53,Auger Drilling,Not Suitable,Poor
Nellore,Andhra Pradesh,Site-0446,14.7902,77.8767,Sandstone,Unconfined,124,9.3,408,6.54,1338,649,68.0,1.08,Rotary Drilling,Not Suitable,Good
Chittoor,Andhra Pradesh,Site-0447,14.084,81.1937,Basalt,Unconfined,258,16.41,112,6.58,1377,311,84.0,0.49,Down-the-Hole,Not Suitable,Good
Chittoor,Andhra Pradesh,Site-0448,18.8796,80.543,Sandstone,Confined,246,19.59,386,6.5,815,147,67.0,1.83,Down-the-Hole,Not Suitable,Poor
East Godavari,Andhra Pradesh,Site-0449,15.6695,81.0395,Alluvium,Semi-confined,297,18.39,230,7.71,1245,314,89.0,0.38,Rotary Drilling,Not Suitable,Good
Anantapur,Andhra Pradesh,Site-0450,14.1284,79.098,Basalt,Confined,140,12.65,192,6.76,1474,532,10.0,1.19,Down-the-Hole,Suitable,Moderate
Kadapa,Andhra Pradesh,Site-0451,15.4004,77.5828,Sandstone,Fractured,103,11.65,86,7.76,751,748,90.0,1.36,Down-the-Hole,Not Suitable,Poor
East Godavari,Andhra Pradesh,Site-0452,16.6297,79.9378,Basalt,Semi-confined,252,8.82,359,6.99,753,227,69.0,0.4,Auger Drilling,Not Suitable,Good
Prakasam,Andhra Pradesh,Site-0453,16.8411,79.5397,Sandstone,Semi-confined,104,17.64,165,7.05,400,486,29.0,0.88,Rotary Drilling,Suitable,Good
Kadapa,Andhra Pradesh,Site-0454,16.1589,83.1286,Limestone,Fractured,78,11.52,408,7.64,777,664,35.0,1.29,Rotary Drilling,Suitable,Good
Prakasam,Andhra Pradesh,Site-0455,18.6791,79.7269,Sandstone,Fractured,274,12.66,182,6.52,1251,259,85.0,0.43,Auger Drilling,Not Suitable,Poor
Guntur,Andhra Pradesh,Site-0456,13.3172,82.0779,Sandstone,Confined,244,14.72,143,7.38,924,579,65.0,0.72,Auger Drilling,Not Suitable,Poor
Kurnool,Andhra Pradesh,Site-0457,14.8311,83.0055,Sandstone,Fractured,190,17.21,374,6.66,1694,345,12.0,0.5,Rotary Drilling,Suitable,Good
Guntur,Andhra Pradesh,Site-0458,16.325,80.45,Granite,Fractured,290,18.78,119,7.46,1254,793,69.0,1.46,Auger Drilling,Not Suitable,Good
West Godavari,Andhra Pradesh,Site-0459,14.1411,82.8198,Granite,Fractured,206,6.4,428,7.82,1886,640,88.0,1.3,Auger Drilling,Not Suitable,Good
East Godavari,Andhra Pradesh,Site-0460,18.4228,78.2237,Sandstone,Confined,293,8.36,76,7.35,976,274,48.0,1.95,Down-the-Hole,Not Suitable,Poor
Kurnool,Andhra Pradesh,Site-0461,17.9904,82.9554,Granite,Semi-confined,183,10.7,185,6.93,1711,746,73.0,0.91,Down-the-Hole,Not Suitable,Poor
East Godavari,Andhra Pradesh,Site-0462,17.9544,77.248,Shale,Fractured,59,8.4,365,7.42,811,462,14.0,0.21,Percussion Drilling,Suitable,Moderate
Prakasam,Andhra Pradesh,Site-0463,13.0532,80.0156,Basalt,Unconfined,300,11.26,128,7.32,1198,107,20.0,1.59,Down-the-Hole,Suitable,Good
Krishna,Andhra Pradesh,Site-0464,15.3722,79.095,Shale,Confined,167,3.96,274,7.81,1099,265,18.0,0.84,Auger Drilling,Suitable,Good
Prakasam,Andhra Pradesh,Site-0465,18.3015,81.9645,Granite,Confined,175,2.72,252,7.34,878,132,21.0,1.4,Auger Drilling,Suitable,Poor
Guntur,Andhra Pradesh,Site-0466,13.7128,80.4235,Shale,Confined,196,15.52,449,8.26,1227,498,17.0,0.4,Rotary Drilling,Not Suitable,Good
Kadapa,Andhra Pradesh,Site-0467,13.9333,80.5,Alluvium,Confined,56,14.21,225,7.36,1422,108,56.0,1.06,Down-the-Hole,Not Suitable,Moderate
Chittoor,Andhra Pradesh,Site-0468,17.5654,78.7342,Basalt,Confined,157,7.06,108,8.23,1635,353,86.0,1.68,Percussion Drilling,Not Suitable,Moderate
Chittoor,Andhra Pradesh,Site-0469,17.2069,80.5163,Basalt,Confined,106,6.13,117,7.3,760,296,19.0,0.97,Percussion Drilling,Suitable,Good
Anantapur,Andhra Pradesh,Site-0470,15.2821,80.6748,Alluvium,Confined,143,8.05,295,6.62,1074,759,7.0,0.75,Down-the-Hole,Suitable,Moderate
Guntur,Andhra Pradesh,Site-0471,18.658,81.9811,Basalt,Semi-confined,54,5.27,50,6.6,1725,429,28.0,0.71,Down-the-Hole,Not Suitable,Poor
Chittoor,Andhra Pradesh,Site-0472,15.5854,78.7658,Shale,Semi-confined,201,7.48,99,7.84,1598,665,99.0,1.75,Down-the-Hole,Not Suitable,Moderate
Prakasam,Andhra Pradesh,Site-0473,17.4576,81.1224,Limestone,Semi-confined,151,13.7,157,7.67,378,208,17.0,1.33,Rotary Drilling,Suitable,Good
West Godavari,Andhra Pradesh,Site-0474,18.81,83.1883,Basalt,Confined,258,18.66,88,8.38,1467,451,39.0,1.51,Percussion Drilling,Not Suitable,Poor
Kadapa,Andhra Pradesh,Site-0475,13.2629,78.3419,Limestone,Semi-confined,207,18.11,279,7.76,440,546,9.0,1.07,Rotary Drilling,Suitable,Good
West Godavari,Andhra Pradesh,Site-0476,14.6449,83.7724,Sandstone,Unconfined,61,16.3,405,6.88,1868,507,64.0,1.43,Rotary Drilling,Not Suitable,Good
Krishna,Andhra Pradesh,Site-0477,17.5044,79.6891,Shale,Fractured,169,5.72,51,6.82,646,706,90.0,0.22,Auger Drilling,Not Suitable,Poor
East Godavari,Andhra Pradesh,Site-0478,14.553,82.9673,Sandstone,Semi-confined,90,5.08,73,7.57,797,140,82.0,0.47,Down-the-Hole,Not Suitable,Good
Guntur,Andhra Pradesh,Site-0479,18.2403,77.3606,Basalt,Confined,89,2.03,227,7.77,955,432,11.0,1.9,Down-the-Hole,Suitable,Poor
Kadapa,Andhra Pradesh,Site-0480,15.4501,81.2804,Sandstone,Unconfined,35,16.83,162,7.96,772,280,33.0,1.95,Rotary Drilling,Suitable,Poor
Nellore,Andhra Pradesh,Site-0481,18.6739,78.8014,Alluvium,Confined,256,5.97,187,6.91,1489,504,20.0,1.0,Auger Drilling,Suitable,Moderate
Kadapa,Andhra Pradesh,Site-0482,18.413,77.6558,Basalt,Fractured,124,16.68,140,6.88,1204,284,83.0,0.71,Down-the-Hole,Not Suitable,Good
Kadapa,Andhra Pradesh,Site-0483,17.905,81.8116,Basalt,Unconfined,103,3.3,175,7.41,1521,512,13.0,1.5,Percussion Drilling,Suitable,Poor
Anantapur,Andhra Pradesh,Site-0484,16.6198,79.6451,Granite,Unconfined,36,15.74,379,8.37,470,354,99.0,0.35,Percussion Drilling,Not Suitable,Poor
West Godavari,Andhra Pradesh,Site-0485,13.081,83.7645,Granite,Semi-confined,73,5.64,295,8.02,1109,267,40.0,0.8,Percussion Drilling,Not Suitable,Good
Anantapur,Andhra Pradesh,Site-0486,16.2612,78.8722,Limestone,Unconfined,40,16.85,102,7.59,410,623,54.0,0.46,Percussion Drilling,Not Suitable,Good
Kurnool,Andhra Pradesh,Site-0487,15.5628,78.0316,Alluvium,Semi-confined,145,18.59,400,7.27,1664,215,63.0,0.51,Rotary Drilling,Not Suitable,Good
Chittoor,Andhra Pradesh,Site-0488,18.7388,78.9727,Granite,Semi-confined,90,8.49,93,8.29,1438,254,23.0,0.97,Down-the-Hole,Not Suitable,Poor
Kadapa,Andhra Pradesh,Site-0489,17.0766,78.0515,Alluvium,Semi-confined,176,8.27,103,7.04,1222,777,48.0,1.88,Rotary Drilling,Suitable,Good
Kadapa,Andhra Pradesh,Site-0490,17.6667,78.0261,Basalt,Fractured,258,14.98,452,8.45,1868,168,15.0,1.24,Down-the-Hole,Not Suitable,Good
Chittoor,Andhra Pradesh,Site-0491,14.9383,77.8928,Shale,Semi-confined,193,10.9,296,7.89,1047,716,82.0,0.8,Percussion Drilling,Not Suitable,Moderate
Nellore,Andhra Pradesh,Site-0492,16.296,80.7712,Shale,Confined,226,3.51,416,7.34,1383,324,90.0,0.36,Down-the-Hole,Not Suitable,Good
Kurnool,Andhra Pradesh,Site-0493,18.9634,77.1201,Limestone,Fractured,98,18.58,80,8.32,939,242,38.0,1.03,Auger Drilling,Not Suitable,Good
Kurnool,Andhra Pradesh,Site-0494,17.9669,77.3911,Basalt,Unconfined,103,8.79,63,7.89,1069,480,7.0,1.46,Rotary Drilling,Not Suitable,Moderate
West Godavari,Andhra Pradesh,Site-0495,18.2229,77.2113,Sandstone,Confined,70,6.41,56,7.64,1866,526,20.0,1.58,Auger Drilling,Not Suitable,Poor
Kadapa,Andhra Pradesh,Site-0496,17.4886,81.8899,Sandstone,Fractured,240,15.01,277,8.06,1623,113,37.0,0.4,Rotary Drilling,Not Suitable,Poor
Anantapur,Andhra Pradesh,Site-0497,16.625,78.2151,Basalt,Unconfined,232,16.99,398,8.4,1130,667,92.0,1.69,Down-the-Hole,Not Suitable,Poor
Kurnool,Andhra Pradesh,Site-0498,15.542,78.0976,Granite,Fractured,94,15.38,255,7.74,648,501,24.0,1.68,Rotary Drilling,Suitable,Poor
Krishna,Andhra Pradesh,Site-0499,15.8645,81.5689,Shale,Fractured,114,2.98,240,7.79,598,376,14.0,0.39,Down-the-Hole,Suitable,Poor
Prakasam,Andhra Pradesh,Site-0500,13.1683,78.9754,Limestone,Unconfined,63,5.81,55,8.01,833,292,71.0,0.56,Rotary Drilling,Not Suitable,Good
Guntur,Andhra Pradesh,Site-0501,13.5102,80.9909,Granite,Fractured,53,2.86,97,8.39,217,465,97.0,0.71,Auger Drilling,Not Suitable,Poor
Kurnool,Andhra Pradesh,Site-0502,14.8868,79.7345,Sandstone,Confined,79,7.96,429,7.51,1228,253,4.0,1.26,Auger Drilling,Suitable,Moderate
West Godavari,Andhra Pradesh,Site-0503,18.2129,77.2619,Basalt,Confined,267,3.42,370,6.69,1671,337,28.0,1.65,Percussion Drilling,Suitable,Poor
Kadapa,Andhra Pradesh,Site-0504,18.9605,80.5113,Alluvium,Semi-confined,259,16.14,223,7.08,1476,541,6.0,1.8,Auger Drilling,Suitable,Good
Kurnool,Andhra Pradesh,Site-0505,18.9821,81.2481,Basalt,Fractured,79,16.49,123,8.03,833,660,12.0,1.1,Auger Drilling,Not Suitable,Moderate
Kadapa,Andhra Pradesh,Site-0506,18.6043,78.1303,Sandstone,Semi-confined,210,3.61,141,7.92,1143,364,61.0,1.96,Auger Drilling,Not Suitable,Poor
Kadapa,Andhra Pradesh,Site-0507,18.639,83.8018,Shale,Unconfined,216,17.46,255,7.32,1469,796,17.0,0.99,Down-the-Hole,Suitable,Moderate
Chittoor,Andhra Pradesh,Site-0508,17.0932,80.5416,Sandstone,Unconfined,59,15.34,175,7.9,1348,108,20.0,1.74,Down-the-Hole,Suitable,Moderate
Kadapa,Andhra Pradesh,Site-0509,16.4208,82.9768,Basalt,Fractured,266,14.04,228,7.43,1515,647,60.0,0.4,Percussion Drilling,Not Suitable,Poor
Chittoor,Andhra Pradesh,Site-0510,18.5048,83.4574,Shale,Confined,235,7.92,212,7.18,1437,597,28.0,1.46,Auger Drilling,Suitable,Good
Guntur,Andhra Pradesh,Site-0511,15.7275,80.8156,Shale,Confined,139,7.76,66,8.48,1785,489,8.0,1.89,Down-the-Hole,Not Suitable,Moderate
Krishna,Andhra Pradesh,Site-0512,14.2805,78.4805,Granite,Fractured,168,6.54,140,6.67,341,380,52.0,0.35,Auger Drilling,Not Suitable,Moderate
East Godavari,Andhra Pradesh,Site-0513,14.2846,83.2515,Basalt,Unconfined,77,18.11,269,7.18,1742,404,22.0,0.56,Auger Drilling,Suitable,Moderate
Krishna,Andhra Pradesh,Site-0514,16.213,82.487,Alluvium,Fractured,211,18.43,342,7.28,220,674,77.0,0.56,Percussion Drilling,Not Suitable,Moderate
Prakasam,Andhra Pradesh,Site-0515,13.0851,83.2755,Basalt,Fractured,192,4.04,395,7.31,1266,103,58.0,1.9,Percussion Drilling,Not Suitable,Poor
Krishna,Andhra Pradesh,Site-0516,16.8335,81.0486,Granite,Confined,126,9.56,329,8.05,1430,486,28.0,0.83,Percussion Drilling,Not Suitable,Poor
West Godavari,Andhra Pradesh,Site-0517,18.7306,79.5918,Sandstone,Unconfined,184,18.14,307,8.14,455,611,84.0,2.0,Auger Drilling,Not Suitable,Moderate
Prakasam,Andhra Pradesh,Site-0518,15.1133,80.7973,Limestone,Semi-confined,88,18.67,284,7.36,562,666,77.0,0.49,Auger Drilling,Not Suitable,Moderate
Guntur,Andhra Pradesh,Site-0519,18.0705,81.8199,Shale,Semi-confined,80,19.92,462,8.17,383,765,3.0,1.31,Auger Drilling,Not Suitable,Good
Krishna,Andhra Pradesh,Site-0520,17.4997,81.3668,Limestone,Unconfined,257,11.06,462,6.57,793,530,28.0,0.6,Auger Drilling,Suitable,Poor
Nellore,Andhra Pradesh,Site-0521,13.687,82.9944,Granite,Semi-confined,267,9.43,470,7.79,1806,505,1.0,1.89,Percussion Drilling,Suitable,Poor
Guntur,Andhra Pradesh,Site-0522,14.6057,81.6108,Sandstone,Fractured,153,2.07,262,6.57,253,257,48.0,1.71,Down-the-Hole,Suitable,Moderate
Kadapa,Andhra Pradesh,Site-0523,18.755,83.9498,Basalt,Fractured,128,13.09,251,8.16,1841,691,55.0,0.43,Auger Drilling,Not Suitable,Poor
Kadapa,Andhra Pradesh,Site-0524,15.4187,79.2269,Basalt,Fractured,148,3.79,460,6.75,442,746,74.0,1.61,Down-the-Hole,Not Suitable,Poor
Kadapa,Andhra Pradesh,Site-0525,18.6922,78.4263,Granite,Unconfined,253,2.21,444,7.69,256,732,91.0,1.18,Rotary Drilling,Not Suitable,Poor
Nellore,Andhra Pradesh,Site-0526,13.1517,82.1392,Shale,Semi-confined,125,6.31,163,7.09,1296,351,93.0,1.6,Auger Drilling,Not Suitable,Moderate
Anantapur,Andhra Pradesh,Site-0527,14.6498,83.5448,Alluvium,Unconfined,82,4.0,355,6.75,490,389,34.0,1.81,Rotary Drilling,Suitable,Good
Krishna,Andhra Pradesh,Site-0528,18.0677,83.389,Basalt,Fractured,81,10.84,61,7.33,1196,740,10.0,0.58,Auger Drilling,Not Suitable,Moderate
Prakasam,Andhra Pradesh,Site-0529,16.8013,80.1561,Basalt,Confined,182,2.18,141,7.82,1492,721,5.0,0.41,Down-the-Hole,Suitable,Moderate
Krishna,Andhra Pradesh,Site-0530,18.9695,81.2,Granite,Confined,297,15.35,112,6.89,260,648,3.0,1.13,Percussion Drilling,Suitable,Good
Prakasam,Andhra Pradesh,Site-0531,13.6887,78.5187,Sandstone,Confined,142,3.5,404,8.38,748,380,62.0,0.56,Rotary Drilling,Not Suitable,Moderate
East Godavari,Andhra Pradesh,Site-0532,16.9115,80.2693,Shale,Fractured,292,19.03,148,7.0,605,387,51.0,0.39,Down-the-Hole,Not Suitable,Good
Kurnool,Andhra Pradesh,Site-0533,18.7226,80.4148,Shale,Fractured,169,16.69,368,6.72,984,539,26.0,1.22,Down-the-Hole,Suitable,Poor
Chittoor,Andhra Pradesh,Site-0534,15.6964,83.2261,Limestone,Semi-confined,239,7.28,473,8.25,1286,460,51.0,0.25,Percussion Drilling,Not Suitable,Moderate
Nellore,Andhra Pradesh,Site-0535,17.7454,79.5042,Granite,Confined,220,8.7,449,7.13,219,426,89.0,0.22,Down-the-Hole,Not Suitable,Good
Krishna,Andhra Pradesh,Site-0536,16.4048,79.2509,Basalt,Unconfined,227,7.11,158,7.55,410,674,36.0,1.49,Rotary Drilling,Suitable,Poor
Nellore,Andhra Pradesh,Site-0537,17.0928,80.0464,Sandstone,Confined,130,2.89,302,7.5,762,531,16.0,0.42,Percussion Drilling,Suitable,Poor
Prakasam,Andhra Pradesh,Site-0538,16.547,78.655,Granite,Semi-confined,39,13.59,488,7.65,209,572,37.0,0.44,Auger Drilling,Suitable,Good
East Godavari,Andhra Pradesh,Site-0539,18.5082,77.2738,Alluvium,Unconfined,65,10.46,474,8.11,1681,408,36.0,0.77,Down-the-Hole,Not Suitable,Moderate
Chittoor,Andhra Pradesh,Site-0540,16.3387,79.1922,Limestone,Unconfined,231,7.37,282,7.49,1512,224,48.0,1.89,Rotary Drilling,Suitable,Good
Kurnool,Andhra Pradesh,Site-0541,13.287,77.0728,Granite,Semi-confined,253,6.07,95,6.88,1863,477,69.0,1.98,Rotary Drilling,Not Suitable,Moderate
Anantapur,Andhra Pradesh,Site-0542,13.6648,83.63,Granite,Semi-confined,198,14.38,455,8.12,752,274,18.0,1.25,Rotary Drilling,Not Suitable,Good
Prakasam,Andhra Pradesh,Site-0543,18.1714,82.2712,Shale,Fractured,92,11.39,173,7.66,1554,601,36.0,0.78,Auger Drilling,Suitable,Good
Chittoor,Andhra Pradesh,Site-0544,14.5829,79.0736,Granite,Semi-confined,154,13.87,426,8.21,1623,179,10.0,1.95,Rotary Drilling,Not Suitable,Good
Anantapur,Andhra Pradesh,Site-0545,17.023,80.2771,Shale,Confined,279,3.88,156,8.13,1759,640,66.0,1.75,Down-the-Hole,Not Suitable,Poor
Krishna,Andhra Pradesh,Site-0546,16.9317,82.9346,Granite,Confined,142,18.5,247,8.45,1977,735,66.0,0.57,Auger Drilling,Not Suitable,Good
Chittoor,Andhra Pradesh,Site-0547,14.667,78.1494,Sandstone,Unconfined,105,10.3,104,7.99,692,116,59.0,0.54,Rotary Drilling,Not Suitable,Moderate
East Godavari,Andhra Pradesh,Site-0548,15.7158,78.8591,Limestone,Unconfined,211,9.77,127,7.29,1082,620,43.0,0.3,Down-the-Hole,Suitable,Moderate
Chittoor,Andhra Pradesh,Site-0549,13.2948,79.6777,Shale,Confined,180,5.41,140,7.69,1284,722,64.0,1.13,Rotary Drilling,Not Suitable,Poor
Anantapur,Andhra Pradesh,Site-0550,16.8781,83.7128,Basalt,Unconfined,57,18.11,344,7.03,334,644,13.0,0.7,Auger Drilling,Suitable,Moderate
Nellore,Andhra Pradesh,Site-0551,13.6078,82.1375,Alluvium,Semi-confined,283,5.7,452,6.91,1504,394,91.0,1.27,Rotary Drilling,Not Suitable,Good
Kadapa,Andhra Pradesh,Site-0552,16.0194,81.9033,Shale,Semi-confined,152,5.06,398,6.64,583,440,59.0,0.46,Rotary Drilling,Not Suitable,Poor
Krishna,Andhra Pradesh,Site-0553,15.5675,77.1458,Sandstone,Unconfined,117,14.23,486,6.52,921,585,75.0,0.2,Percussion Drilling,Not Suitable,Moderate
Chittoor,Andhra Pradesh,Site-0554,13.2711,77.1217,Alluvium,Semi-confined,146,11.45,135,8.01,1787,196,13.0,0.75,Down-the-Hole,Not Suitable,Moderate
Krishna,Andhra Pradesh,Site-0555,17.4089,83.9286,Sandstone,Fractured,159,8.56,56,8.16,816,441,67.0,1.59,Auger Drilling,Not Suitable,Good
Guntur,Andhra Pradesh,Site-0556,17.1147,82.0975,Granite,Confined,240,17.41,387,8.49,931,609,4.0,0.64,Auger Drilling,Not Suitable,Moderate
Kurnool,Andhra Pradesh,Site-0557,17.4662,78.3569,Shale,Unconfined,170,17.79,397,7.59,1120,639,23.0,0.68,Down-the-Hole,Suitable,Moderate
Nellore,Andhra Pradesh,Site-0558,16.5349,83.6169,Sandstone,Semi-confined,127,2.74,316,7.9,1908,727,16.0,0.98,Auger Drilling,Suitable,Poor
Prakasam,Andhra Pradesh,Site-0559,14.7305,83.7863,Shale,Confined,268,14.26,317,8.43,1477,671,86.0,0.49,Auger Drilling,Not Suitable,Moderate
Chittoor,Andhra Pradesh,Site-0560,17.7987,77.1091,Granite,Confined,174,16.86,113,6.61,826,105,56.0,0.83,Rotary Drilling,Not Suitable,Good
Guntur,Andhra Pradesh,Site-0561,13.8263,83.1511,Limestone,Confined,74,14.84,123,8.49,602,542,75.0,1.85,Down-the-Hole,Not Suitable,Good
Anantapur,Andhra Pradesh,Site-0562,15.8391,79.4824,Alluvium,Fractured,246,9.18,100,8.29,818,711,40.0,0.51,Auger Drilling,Not Suitable,Poor
Prakasam,Andhra Pradesh,Site-0563,17.8263,77.9742,Basalt,Semi-confined,99,9.49,152,7.1,375,404,73.0,1.87,Auger Drilling,Not Suitable,Poor
Kadapa,Andhra Pradesh,Site-0564,15.2558,83.1315,Shale,Unconfined,100,11.48,405,7.13,1603,466,60.0,0.84,Auger Drilling,Not Suitable,Moderate
Nellore,Andhra Pradesh,Site-0565,15.7677,83.3879,Granite,Fractured,75,15.61,364,8.31,1811,348,75.0,1.12,Percussion Drilling,Not Suitable,Poor
East Godavari,Andhra Pradesh,Site-0566,18.3995,83.1446,Granite,Fractured,94,9.25,53,7.43,1762,630,59.0,1.71,Rotary Drilling,Not Suitable,Good
Guntur,Andhra Pradesh,Site-0567,17.9794,81.5492,Sandstone,Unconfined,178,12.18,403,7.16,324,224,95.0,1.25,Rotary Drilling,Not Suitable,Poor
Kurnool,Andhra Pradesh,Site-0568,16.0976,80.9343,Shale,Confined,144,18.11,377,8.2,816,743,40.0,1.49,Rotary Drilling,Not Suitable,Moderate
West Godavari,Andhra Pradesh,Site-0569,17.1266,77.803,Granite,Confined,91,11.36,176,6.91,1170,125,65.0,1.0,Rotary Drilling,Not Suitable,Good
Guntur,Andhra Pradesh,Site-0570,15.4273,83.8789,Basalt,Semi-confined,254,17.47,365,6.75,499,751,3.0,0.53,Percussion Drilling,Suitable,Good
East Godavari,Andhra Pradesh,Site-0571,17.45,80.8268,Shale,Fractured,178,7.21,101,8.42,1209,476,86.0,0.7,Auger Drilling,Not Suitable,Poor
Chittoor,Andhra Pradesh,Site-0572,15.7838,82.6945,Basalt,Unconfined,175,10.23,338,7.28,1388,410,5.0,1.36,Auger Drilling,Suitable,Good
Prakasam,Andhra Pradesh,Site-0573,18.7768,80.2753,Alluvium,Fractured,171,2.16,131,7.22,1952,615,27.0,0.83,Auger Drilling,Suitable,Poor
Chittoor,Andhra Pradesh,Site-0574,14.047,78.0598,Alluvium,Semi-confined,265,14.87,452,6.78,1807,774,39.0,1.86,Rotary Drilling,Suitable,Poor
Krishna,Andhra Pradesh,Site-0575,15.2591,80.3023,Alluvium,Confined,289,15.96,319,7.02,1629,431,76.0,1.92,Down-the-Hole,Not Suitable,Poor
West Godavari,Andhra Pradesh,Site-0576,17.9793,77.473,Granite,Confined,148,3.74,104,7.5,1591,587,42.0,1.57,Percussion Drilling,Suitable,Good
Kadapa,Andhra Pradesh,Site-0577,17.369,79.6886,Shale,Unconfined,61,13.01,108,6.57,1735,174,57.0,1.57,Rotary Drilling,Not Suitable,Good
Prakasam,Andhra Pradesh,Site-0578,13.646,80.1466,Basalt,Confined,130,6.54,274,7.86,661,306,95.0,0.49,Percussion Drilling,Not Suitable,Good
West Godavari,Andhra Pradesh,Site-0579,13.1455,83.7188,Granite,Confined,47,16.58,52,7.22,1035,681,70.0,1.76,Down-the-Hole,Not Suitable,Good
East Godavari,Andhra Pradesh,Site-0580,15.9771,82.8268,Limestone,Fractured,286,8.34,366,8.3,1947,241,9.0,0.99,Auger Drilling,Not Suitable,Good
West Godavari,Andhra Pradesh,Site-0581,13.4689,82.4767,Sandstone,Unconfined,90,10.98,76,7.7,877,123,29.0,1.68,Down-the-Hole,Not Suitable,Moderate
Nellore,Andhra Pradesh,Site-0582,17.2196,77.4757,Basalt,Semi-confined,68,11.62,173,8.21,1451,612,40.0,0.92,Rotary Drilling,Not Suitable,Poor
Chittoor,Andhra Pradesh,Site-0583,16.4966,83.5585,Sandstone,Unconfined,46,8.08,183,6.9,1766,160,18.0,0.57,Down-the-Hole,Suitable,Poor
Anantapur,Andhra Pradesh,Site-0584,14.4137,77.5104,Limestone,Unconfined,207,19.66,263,7.7,1454,182,71.0,1.06,Percussion Drilling,Not Suitable,Moderate
